Protein.IDs,Majority.protein.IDs,gene,rectum
ENSP00000469398.1;ENSP00000468982.1;ENSP00000438883.1;ENSP00000340914.3;ENSP00000469834.1,ENSP00000469398.1;ENSP00000468982.1;ENSP00000438883.1;ENSP00000340914.3,SYT3; SYT3; NA; SYT3; SYT3,0
ENSP00000356187.3;ENSP00000340930.2;ENSP00000349165.5;ENSP00000433577.1;ENSP00000391150.1,ENSP00000356187.3;ENSP00000340930.2,ATP2B4; ATP2B4; ATP2B4; ATP2B4; ATP2B4,7705200
ENSP00000358748.3;ENSP00000340937.5;ENSP00000376905.3,ENSP00000358748.3;ENSP00000340937.5,COL17A1; NA; COL17A1,738500
ENSP00000340939.4;ENSP00000183605.5,ENSP00000340939.4;ENSP00000183605.5,CLDN18; CLDN18,0
ENSP00000409928.2;ENSP00000340945.5,ENSP00000409928.2;ENSP00000340945.5,PHYHD1; PHYHD1,0
ENSP00000477946.1;ENSP00000408186.1;ENSP00000398802.1;ENSP00000396628.1;ENSP00000378497.1;ENSP00000340969.5;ENSP00000478139.1;ENSP00000407151.1;ENSP00000415957.1;ENSP00000408989.1;ENSP00000393736.1;ENSP00000405783.1,ENSP00000477946.1;ENSP00000408186.1;ENSP00000398802.1;ENSP00000396628.1;ENSP00000378497.1;ENSP00000340969.5;ENSP00000478139.1;ENSP00000407151.1;ENSP00000415957.1,TEX264; TEX264; TEX264; TEX264; TEX264; TEX264; TEX264; TEX264; TEX264; TEX264; TEX264; TEX264,19327000
ENSP00000414913.1;ENSP00000390588.1;ENSP00000388551.1;ENSP00000340974.5;ENSP00000373360.2;ENSP00000399875.1;ENSP00000414050.1;ENSP00000310135.4,ENSP00000414913.1;ENSP00000390588.1;ENSP00000388551.1;ENSP00000340974.5;ENSP00000373360.2;ENSP00000399875.1;ENSP00000414050.1;ENSP00000310135.4,FAM131A; FAM131A; FAM131A; FAM131A; FAM131A; FAM131A; FAM131A; FAM131A,16778000
ENSP00000340975.3,ENSP00000340975.3,SOWAHD,4922600
ENSP00000418530.1;ENSP00000417462.1;ENSP00000379878.2;ENSP00000340982.2;ENSP00000418215.1,ENSP00000418530.1;ENSP00000417462.1;ENSP00000379878.2;ENSP00000340982.2,SPAG8; SPAG8; SPAG8; SPAG8; SPAG8,0
ENSP00000472290.1;ENSP00000340983.2,ENSP00000472290.1;ENSP00000340983.2,LRRC25; LRRC25,659510
ENSP00000340989.4,ENSP00000340989.4,SFN,777920000
ENSP00000390423.2;ENSP00000341006.2;ENSP00000477936.1;ENSP00000429464.1,ENSP00000390423.2;ENSP00000341006.2;ENSP00000477936.1;ENSP00000429464.1,CATSPER4; CATSPER4; NA; CATSPER4,17859
ENSP00000341021.2,ENSP00000341021.2,NANOS2,0
ENSP00000399708.2;ENSP00000341024.5;ENSP00000399518.1;ENSP00000408871.1;ENSP00000398072.1;ENSP00000390529.1;ENSP00000406727.2;ENSP00000402982.1;ENSP00000391344.1;ENSP00000453908.1,ENSP00000399708.2;ENSP00000341024.5;ENSP00000399518.1,SATB1; SATB1; SATB1; SATB1; SATB1; SATB1; SATB1; SATB1; SATB1; SATB1,0
ENSP00000341029.4;ENSP00000461196.1;ENSP00000461698.1,ENSP00000341029.4;ENSP00000461196.1;ENSP00000461698.1,XAF1; XAF1; XAF1,57570
ENSP00000489488.1;ENSP00000341030.3,ENSP00000489488.1;ENSP00000341030.3,CSN2; CSN2,0
ENSP00000412547.1;ENSP00000341031.3;ENSP00000400171.1,ENSP00000412547.1;ENSP00000341031.3;ENSP00000400171.1,TPRG1; TPRG1; TPRG1,0
ENSP00000386781.1;ENSP00000341032.4;ENSP00000386546.3;ENSP00000387217.1,ENSP00000386781.1;ENSP00000341032.4;ENSP00000386546.3,WNT7B; WNT7B; WNT7B; WNT7B,99039
ENSP00000367079.3;ENSP00000341044.7;ENSP00000443281.1;ENSP00000478488.1;ENSP00000474680.1,ENSP00000367079.3;ENSP00000341044.7,ACACB; ACACB; ACACB; ACACB; ACACB,16872000
ENSP00000482004.1;ENSP00000341045.5,ENSP00000482004.1;ENSP00000341045.5,NA; UGT2B15,356470
ENSP00000383118.1;ENSP00000341072.3;ENSP00000398327.1,ENSP00000383118.1;ENSP00000341072.3;ENSP00000398327.1,CDC42; CDC42; CDC42,1295300000
ENSP00000341082.7;ENSP00000459994.1;ENSP00000460924.1,ENSP00000341082.7,MRPL20; MRPL20; MRPL20,50809000
ENSP00000341083.2;ENSP00000399204.1;ENSP00000393029.1;ENSP00000218006.2,ENSP00000341083.2,NPR2; NPR2; NPR2; GUCY2F,268660
ENSP00000341086.3;ENSP00000401958.3;ENSP00000413781.2;ENSP00000486269.1,ENSP00000341086.3;ENSP00000401958.3;ENSP00000413781.2,DOCK9; DOCK9; DOCK9; DOCK9,0
ENSP00000385790.4;ENSP00000341117.4;ENSP00000449136.1;ENSP00000448868.1;ENSP00000448950.1;ENSP00000446867.1,ENSP00000385790.4;ENSP00000341117.4;ENSP00000449136.1,SDSL; SDSL; SDSL; SDSL; SDSL; SDSL,56759000
ENSP00000341118.4,ENSP00000341118.4,AFDN,0
ENSP00000464642.1;ENSP00000383449.2;ENSP00000341128.6;ENSP00000463269.1;ENSP00000481776.1;ENSP00000441726.1,ENSP00000464642.1;ENSP00000383449.2;ENSP00000341128.6;ENSP00000463269.1;ENSP00000481776.1;ENSP00000441726.1,CLUL1; CLUL1; CLUL1; CLUL1; CLUL1; CLUL1,0
ENSP00000413663.1;ENSP00000341139.3,ENSP00000413663.1;ENSP00000341139.3,C3orf62; C3orf62,0
ENSP00000341141.4;ENSP00000395778.1,ENSP00000341141.4,SIGLEC1; SIGLEC1,7959000
ENSP00000341155.4;ENSP00000395862.1,ENSP00000341155.4;ENSP00000395862.1,BBC3; BBC3,0
ENSP00000376798.2;ENSP00000341170.2,ENSP00000376798.2;ENSP00000341170.2,PTN; PTN,0
ENSP00000481169.1;ENSP00000341171.6;ENSP00000455480.2,ENSP00000481169.1;ENSP00000341171.6,MTSS2; MTSS2; MTSS2,8200400
ENSP00000441204.3;ENSP00000341206.5,ENSP00000441204.3;ENSP00000341206.5,CHST4; CHST4,93748
