Protein.IDs,Majority.protein.IDs,gene,rectum
ENSP00000376945.3;ENSP00000465387.1;ENSP00000465854.1,ENSP00000376945.3;ENSP00000465387.1,FBXW9; FBXW9; FBXW9,3692000
ENSP00000376972.3;ENSP00000403724.2,ENSP00000376972.3,GRM5; GRM5,0
ENSP00000376973.3;ENSP00000411822.1;ENSP00000273541.8;ENSP00000376970.3;ENSP00000426416.1;ENSP00000422403.1,ENSP00000376973.3;ENSP00000411822.1;ENSP00000273541.8;ENSP00000376970.3,ISY1; ISY1-RAB43; ISY1; ISY1; ISY1; ISY1,22650000
ENSP00000376977.3;ENSP00000358564.1,ENSP00000376977.3;ENSP00000358564.1,OLFML3; OLFML3,84866000
ENSP00000376992.3;ENSP00000417458.1,ENSP00000376992.3,BCL2L15; BCL2L15,39033000
ENSP00000440246.1;ENSP00000376998.2;ENSP00000431182.1;ENSP00000433636.1;ENSP00000315255.6;ENSP00000434690.1,ENSP00000440246.1;ENSP00000376998.2;ENSP00000431182.1;ENSP00000433636.1,ME3; ME3; ME3; ME3; ME3; ME3,15692000
ENSP00000377028.3;ENSP00000394560.2;ENSP00000397422.2,ENSP00000377028.3;ENSP00000394560.2;ENSP00000397422.2,MAPK9; MAPK9; MAPK9,13063000
ENSP00000403768.2;ENSP00000377040.1;ENSP00000351834.2;ENSP00000414001.1,ENSP00000403768.2;ENSP00000377040.1;ENSP00000351834.2;ENSP00000414001.1,AASS; AASS; AASS; AASS,14985000
ENSP00000377043.3;ENSP00000365871.4;ENSP00000415138.1;ENSP00000399211.2,ENSP00000377043.3,TTLL6; TTLL6; TTLL6; TTLL6,0
ENSP00000377047.2;ENSP00000410000.1,ENSP00000377047.2;ENSP00000410000.1,PTPRZ1; PTPRZ1,727000
ENSP00000377061.2,ENSP00000377061.2,PLXNA1,2830800
ENSP00000377075.3;ENSP00000369823.3;ENSP00000454678.1;ENSP00000464876.2;ENSP00000455922.1,ENSP00000377075.3;ENSP00000369823.3,RGL3; RGL3; RGL3; RGL3; RGL3,2229200
ENSP00000431808.1;ENSP00000377078.2;ENSP00000432830.1;ENSP00000436086.1;ENSP00000433293.1;ENSP00000433956.1;ENSP00000435560.1;ENSP00000433281.1;ENSP00000486080.1;ENSP00000307254.8,ENSP00000431808.1;ENSP00000377078.2;ENSP00000432830.1;ENSP00000436086.1,AAMDC; AAMDC; AAMDC; AAMDC; AAMDC; AAMDC; AAMDC; AAMDC; AAMDC; AAMDC,296660000
ENSP00000420293.1;ENSP00000377083.2;ENSP00000273450.3;ENSP00000395881.2;ENSP00000414126.3;ENSP00000377081.2;ENSP00000418711.1;ENSP00000419826.1;ENSP00000419955.1;ENSP00000426594.1;ENSP00000426713.1;ENSP00000419448.1;ENSP00000418905.1,ENSP00000420293.1;ENSP00000377083.2;ENSP00000273450.3;ENSP00000395881.2;ENSP00000414126.3;ENSP00000377081.2,ALDH1L1; ALDH1L1; ALDH1L1; ALDH1L1; ALDH1L1; ALDH1L1; ALDH1L1; ALDH1L1; ALDH1L1; ALDH1L1; ALDH1L1; ALDH1L1; ALDH1L1,28105000
ENSP00000377086.3;ENSP00000386823.1,ENSP00000377086.3,LONRF2; LONRF2,384650
ENSP00000377103.1;ENSP00000224807.5;ENSP00000474564.1,ENSP00000377103.1;ENSP00000224807.5;ENSP00000474564.1,SFXN3; SFXN3; SFXN3,175510000
ENSP00000389033.1;ENSP00000479447.1;ENSP00000384348.1;ENSP00000377111.1;ENSP00000377110.1,ENSP00000389033.1;ENSP00000479447.1;ENSP00000384348.1;ENSP00000377111.1;ENSP00000377110.1,CAV1; CAV1; CAV1; CAV1; CAV1,73471000
ENSP00000415713.2;ENSP00000418783.1;ENSP00000377112.4,ENSP00000415713.2;ENSP00000418783.1;ENSP00000377112.4,SLC12A8; SLC12A8; SLC12A8,0
ENSP00000377113.1,ENSP00000377113.1,CAV1,0
ENSP00000377115.2;ENSP00000377114.2;ENSP00000393591.1,ENSP00000377115.2;ENSP00000377114.2;ENSP00000393591.1,LIPT1; LIPT1; LIPT1,0
ENSP00000377121.2;ENSP00000413002.1;ENSP00000377124.2,ENSP00000377121.2,TES; TES; TES,0
ENSP00000377126.1;ENSP00000416668.1;ENSP00000392098.1;ENSP00000484656.1;ENSP00000257724.3;ENSP00000418337.1;ENSP00000412153.1;ENSP00000401623.1,ENSP00000377126.1;ENSP00000416668.1;ENSP00000392098.1;ENSP00000484656.1;ENSP00000257724.3,MDFIC; MDFIC; MDFIC; MDFIC; MDFIC; MDFIC; MDFIC; MDFIC,0
ENSP00000377159.2;ENSP00000457991.1;ENSP00000454519.1;ENSP00000458660.1;ENSP00000456572.1,ENSP00000377159.2;ENSP00000457991.1;ENSP00000454519.1,PHLPP2; PHLPP2; PHLPP2; PHLPP2; PHLPP2,1188800
ENSP00000377162.3,ENSP00000377162.3,SORBS2,2265700
ENSP00000398321.1;ENSP00000377170.4,ENSP00000398321.1;ENSP00000377170.4,ANKRD39; ANKRD39,4172200
ENSP00000377176.4;ENSP00000451128.1;ENSP00000348991.5;ENSP00000045347.7;ENSP00000450882.1;ENSP00000450515.1;ENSP00000451690.1;ENSP00000450606.1;ENSP00000451181.1;ENSP00000452546.1;ENSP00000452359.1;ENSP00000452435.1,ENSP00000377176.4;ENSP00000451128.1;ENSP00000348991.5;ENSP00000045347.7,AL049834.1; AL049834.1; AL049834.1; AL049834.1; AL049834.1; AL049834.1; AL049834.1; AL049834.1; AL049834.1; AL049834.1; AL049834.1; AL049834.1,241460
ENSP00000377177.4,ENSP00000377177.4,PDLIM7,485650000
ENSP00000377195.1;ENSP00000422854.1;ENSP00000421465.1,ENSP00000377195.1;ENSP00000422854.1,DBN1; DBN1; DBN1,149390000
ENSP00000489526.1;ENSP00000377197.2;ENSP00000489173.1;ENSP00000463767.1;ENSP00000489221.1;ENSP00000437341.1;ENSP00000489181.1;ENSP00000444970.1;ENSP00000489246.1;ENSP00000314736.5;ENSP00000488978.1;ENSP00000288168.10;ENSP00000489101.1;ENSP00000463422.1;ENSP00000489482.1;ENSP00000437598.1;ENSP00000489503.1;ENSP00000446122.1;ENSP00000489054.1;ENSP00000440202.1;ENSP00000489086.1;ENSP00000443525.1;ENSP00000489274.1;ENSP00000462031.1,ENSP00000489526.1;ENSP00000377197.2,HYDIN; HYDIN; HYDIN; HYDIN; HYDIN; HYDIN; HYDIN; HYDIN; HYDIN; HYDIN; HYDIN; HYDIN; HYDIN; HYDIN; HYDIN; HYDIN; HYDIN; HYDIN; HYDIN; HYDIN; HYDIN; HYDIN; HYDIN; HYDIN,1127000
ENSP00000377218.3;ENSP00000422860.1;ENSP00000424552.1;ENSP00000427204.1;ENSP00000425037.1;ENSP00000423074.1;ENSP00000421927.1,ENSP00000377218.3;ENSP00000422860.1;ENSP00000424552.1;ENSP00000427204.1,IRF2; IRF2; IRF2; IRF2; IRF2; IRF2; IRF2,5624400
ENSP00000377225.3;ENSP00000158526.9,ENSP00000377225.3;ENSP00000158526.9,FAM50A; FAM50A,48598000
ENSP00000377233.3;ENSP00000352332.5;ENSP00000335506.8;ENSP00000377230.3;ENSP00000392264.1;ENSP00000403127.1;ENSP00000390461.3;ENSP00000411452.2;ENSP00000399118.2;ENSP00000441741.1;ENSP00000442746.1,ENSP00000377233.3;ENSP00000352332.5;ENSP00000335506.8;ENSP00000377230.3;ENSP00000392264.1;ENSP00000403127.1;ENSP00000390461.3,ARAP1; ARAP1; ARAP1; ARAP1; ARAP1; ARAP1; ARAP1; ARAP1; ARAP1; ARAP1; ARAP1,17715000
ENSP00000377249.2;ENSP00000449215.1;ENSP00000377250.4;ENSP00000447407.1;ENSP00000446635.1;ENSP00000446626.1;ENSP00000450136.1,ENSP00000377249.2;ENSP00000449215.1;ENSP00000377250.4;ENSP00000447407.1;ENSP00000446635.1,MON2; MON2; MON2; MON2; MON2; MON2; MON2,9021800
ENSP00000377265.2;ENSP00000342252.3,ENSP00000377265.2,TFAP2B; TFAP2B,22930000
ENSP00000377275.3,ENSP00000377275.3,GOLGB1,74278000
ENSP00000377298.3,ENSP00000377298.3,NUMA1,0
ENSP00000377303.3;ENSP00000359014.3;ENSP00000409034.1;ENSP00000405759.1;ENSP00000399278.1,ENSP00000377303.3;ENSP00000359014.3,RENBP; RENBP; RENBP; RENBP; RENBP,27936000
ENSP00000377311.4;ENSP00000488228.1;ENSP00000467188.1;ENSP00000408510.2,ENSP00000377311.4,FDX2; FDX2; FDX2; AC011511.1,25043000
ENSP00000377315.3;ENSP00000359032.4;ENSP00000413668.1;ENSP00000422022.1,ENSP00000377315.3;ENSP00000359032.4;ENSP00000413668.1,NAA10; NAA10; NAA10; NAA11,0
ENSP00000377344.3;ENSP00000422669.1;ENSP00000423678.1;ENSP00000423647.1,ENSP00000377344.3,DDX60; DDX60; DDX60; DDX60,15296000
ENSP00000377374.3;ENSP00000429501.1;ENSP00000427713.1;ENSP00000325127.2,ENSP00000377374.3,ERGIC1; ERGIC1; ERGIC1; ERGIC1,444870000
ENSP00000397950.2;ENSP00000377380.3;ENSP00000377386.2;ENSP00000394307.2;ENSP00000473445.1;ENSP00000449829.1;ENSP00000448423.1;ENSP00000448404.1;ENSP00000450223.1,ENSP00000397950.2;ENSP00000377380.3;ENSP00000377386.2;ENSP00000394307.2;ENSP00000473445.1;ENSP00000449829.1,ARHGAP9; ARHGAP9; ARHGAP9; ARHGAP9; ARHGAP9; ARHGAP9; ARHGAP9; ARHGAP9; ARHGAP9,35004000
ENSP00000377381.2,ENSP00000377381.2,UBTD2,4324200
ENSP00000377384.2;ENSP00000468188.1;ENSP00000253789.4;ENSP00000466381.1;ENSP00000466031.1;ENSP00000467952.1,ENSP00000377384.2;ENSP00000468188.1;ENSP00000253789.4;ENSP00000466381.1,PSMC3IP; PSMC3IP; PSMC3IP; PSMC3IP; PSMC3IP; PSMC3IP,0
ENSP00000377385.4;ENSP00000253107.7;ENSP00000411918.1;ENSP00000377382.1;ENSP00000410485.1;ENSP00000415988.1;ENSP00000323872.4,ENSP00000377385.4;ENSP00000253107.7;ENSP00000411918.1;ENSP00000377382.1,PPAN-P2RY11; PPAN; PPAN-P2RY11; PPAN; PPAN; PPAN; P2RY11,417030
ENSP00000483181.1;ENSP00000480681.1;ENSP00000377401.3,ENSP00000483181.1;ENSP00000480681.1;ENSP00000377401.3,SLC35B2; SLC35B2; SLC35B2,2224200
ENSP00000393564.2;ENSP00000377406.1;ENSP00000464814.1;ENSP00000467687.1;ENSP00000468583.1;ENSP00000466838.1;ENSP00000468755.1;ENSP00000467174.1;ENSP00000467519.1;ENSP00000467322.1,ENSP00000393564.2;ENSP00000377406.1;ENSP00000464814.1,COASY; COASY; COASY; COASY; COASY; COASY; COASY; COASY; COASY; COASY,66229000
ENSP00000415347.1;ENSP00000428719.2;ENSP00000377409.4;ENSP00000386346.1;ENSP00000476194.1,ENSP00000415347.1;ENSP00000428719.2;ENSP00000377409.4;ENSP00000386346.1,SFTPB; SFTPB; SFTPB; SFTPB; SFTPB,65234
ENSP00000377425.1,ENSP00000377425.1,ATP2B3,1433900
ENSP00000377428.2;ENSP00000417371.1;ENSP00000295868.2;ENSP00000418795.1;ENSP00000419844.2;ENSP00000419671.1;ENSP00000419269.1,ENSP00000377428.2;ENSP00000417371.1,CFAP44; NA; CFAP44; CFAP44; CFAP44; CFAP44; CFAP44,757010
ENSP00000458977.1;ENSP00000377430.1;ENSP00000463604.1;ENSP00000459375.1;ENSP00000462652.1;ENSP00000461250.1;ENSP00000460169.1,ENSP00000458977.1;ENSP00000377430.1,DPEP2; DPEP2; DPEP2; DPEP2; DPEP2; DPEP2; DPEP2,216080
ENSP00000377446.2;ENSP00000403884.1,ENSP00000377446.2,SUCLG1; SUCLG1,674780000
ENSP00000377466.1;ENSP00000413104.2;ENSP00000468471.1;ENSP00000466807.1,ENSP00000377466.1,CNP; CNP; CNP; CNP,0
ENSP00000377470.2,ENSP00000377470.2,CNP,234290000
ENSP00000387284.1;ENSP00000377486.2;ENSP00000474821.1;ENSP00000406267.1;ENSP00000351639.7;ENSP00000475090.1,ENSP00000387284.1;ENSP00000377486.2;ENSP00000474821.1,MRPL19; MRPL19; MRPL19; MRPL19; MRPL19; MRPL19,24257000
ENSP00000478084.1;ENSP00000483117.1;ENSP00000377496.4,ENSP00000478084.1;ENSP00000483117.1;ENSP00000377496.4,ACD; ACD; NA,4623100
ENSP00000377500.3,ENSP00000377500.3,PHLDB2,18115000
ENSP00000405405.2;ENSP00000377502.3,ENSP00000405405.2;ENSP00000377502.3,PHLDB2; PHLDB2,384720
ENSP00000435316.1;ENSP00000431400.1;ENSP00000377520.2;ENSP00000434709.1,ENSP00000435316.1;ENSP00000431400.1;ENSP00000377520.2,SYT12; SYT12; SYT12; SYT12,0
ENSP00000384621.3;ENSP00000377523.2;ENSP00000392969.1;ENSP00000389196.1,ENSP00000384621.3;ENSP00000377523.2,DQX1; DQX1; DQX1; DQX1,1972700
ENSP00000377532.1;ENSP00000377530.2;ENSP00000377527.2;ENSP00000486373.1;ENSP00000434192.1;ENSP00000435905.1,ENSP00000377532.1;ENSP00000377530.2;ENSP00000377527.2,PC; PC; PC; PC; PC; PC,79613000
ENSP00000377545.3,ENSP00000377545.3,C1QTNF2,1881100
ENSP00000377566.2;ENSP00000354077.1;ENSP00000458539.1;ENSP00000461166.1,ENSP00000377566.2;ENSP00000354077.1;ENSP00000458539.1,ELMO3; ELMO3; ELMO3; ELMO3,3521500
ENSP00000377594.4;ENSP00000450736.2,ENSP00000377594.4,COQ6; COQ6,0
ENSP00000377617.2;ENSP00000386542.1,ENSP00000377617.2;ENSP00000386542.1,MTHFD2; MTHFD2,19654000
ENSP00000419179.1;ENSP00000420380.1;ENSP00000377640.3,ENSP00000419179.1;ENSP00000420380.1;ENSP00000377640.3,RPL24; RPL24; RPL24,74079000
ENSP00000377663.3,ENSP00000377663.3,WIPF2,0
ENSP00000377665.2;ENSP00000297933.6;ENSP00000419767.1;ENSP00000309582.9;ENSP00000419063.1;ENSP00000377664.2;ENSP00000377645.2;ENSP00000418747.1;ENSP00000419799.1;ENSP00000413082.1;ENSP00000377646.1;ENSP00000391251.1;ENSP00000265956.5;ENSP00000418969.1,ENSP00000377665.2;ENSP00000297933.6;ENSP00000419767.1;ENSP00000309582.9;ENSP00000419063.1;ENSP00000377664.2;ENSP00000377645.2;ENSP00000418747.1,GAPVD1; GAPVD1; GAPVD1; GAPVD1; GAPVD1; GAPVD1; GAPVD1; GAPVD1; GAPVD1; GAPVD1; GAPVD1; GAPVD1; GAPVD1; GAPVD1,25478000
ENSP00000456380.1;ENSP00000377666.2;ENSP00000464316.1;ENSP00000333833.4,ENSP00000456380.1;ENSP00000377666.2;ENSP00000464316.1;ENSP00000333833.4,CMTM4; CMTM4; CMTM4; CMTM4,32282000
ENSP00000377696.3;ENSP00000419189.1;ENSP00000419157.1,ENSP00000377696.3;ENSP00000419189.1,NIT2; NIT2; NIT2,209090000
ENSP00000377700.4;ENSP00000340693.5;ENSP00000418059.1;ENSP00000417487.1,ENSP00000377700.4;ENSP00000340693.5;ENSP00000418059.1,TBC1D23; TBC1D23; TBC1D23; TBC1D23,12714000
ENSP00000417376.1;ENSP00000377717.1;ENSP00000480884.1;ENSP00000417201.1;ENSP00000418896.2;ENSP00000419202.1;ENSP00000418650.1;ENSP00000419987.1;ENSP00000265261.6;ENSP00000417584.1;ENSP00000419209.1,ENSP00000417376.1;ENSP00000377717.1;ENSP00000480884.1;ENSP00000417201.1;ENSP00000418896.2;ENSP00000419202.1;ENSP00000418650.1;ENSP00000419987.1;ENSP00000265261.6,ST3GAL6; ST3GAL6; ST3GAL6; ST3GAL6; ST3GAL6; ST3GAL6; ST3GAL6; ST3GAL6; ST3GAL6; ST3GAL6; ST3GAL6,0
ENSP00000377721.3;ENSP00000389853.2;ENSP00000377726.2;ENSP00000401674.2;ENSP00000481517.1;ENSP00000325819.3;ENSP00000457112.1,ENSP00000377721.3;ENSP00000389853.2;ENSP00000377726.2;ENSP00000401674.2;ENSP00000481517.1;ENSP00000325819.3,NR2F2; NR2F2; NR2F2; NR2F2; NR2F1; NR2F1; NR2F2,1213800
ENSP00000377747.4;ENSP00000486629.1;ENSP00000406581.2;ENSP00000486487.1;ENSP00000487577.1;ENSP00000486417.1;ENSP00000486931.1;ENSP00000486623.1;ENSP00000485681.1;ENSP00000486391.1,ENSP00000377747.4;ENSP00000486629.1,CHD2; CHD2; CHD2; CHD2; CHD2; CHD2; CHD2; AC013394.1; CHD2; CHD2,4084500
ENSP00000420780.1;ENSP00000377769.3;ENSP00000306225.7;ENSP00000445145.1;ENSP00000417263.1;ENSP00000335400.3,ENSP00000420780.1;ENSP00000377769.3;ENSP00000306225.7;ENSP00000445145.1,ARL13B; ARL13B; ARL13B; ARL13B; ARL13B; ARL13B,1663200
ENSP00000441126.1;ENSP00000440133.1;ENSP00000439882.1;ENSP00000425882.1;ENSP00000421195.1;ENSP00000377775.1;ENSP00000377770.1,ENSP00000441126.1;ENSP00000440133.1;ENSP00000439882.1;ENSP00000425882.1;ENSP00000421195.1;ENSP00000377775.1;ENSP00000377770.1,NDUFC1; NDUFC1; NDUFC1; NDUFC1; NDUFC1; NDUFC1; NDUFC1,40298000
ENSP00000436269.1;ENSP00000377774.4;ENSP00000377771.3;ENSP00000485899.1;ENSP00000433686.1;ENSP00000436683.1,ENSP00000436269.1;ENSP00000377774.4;ENSP00000377771.3;ENSP00000485899.1;ENSP00000433686.1,SIPA1; NA; SIPA1; NA; SIPA1; SIPA1,20349000
ENSP00000377778.3;ENSP00000462998.1,ENSP00000377778.3;ENSP00000462998.1,MIEN1; MIEN1,143580000
ENSP00000377783.3;ENSP00000385794.1;ENSP00000419616.1;CON__P07224,ENSP00000377783.3;ENSP00000385794.1,PROS1; PROS1; PROS1; NA,135350000
ENSP00000428378.1;ENSP00000377789.1,ENSP00000428378.1;ENSP00000377789.1,SYNPO; SYNPO,1262300
ENSP00000377791.1,ENSP00000377791.1,PNMT,0
ENSP00000377796.3;ENSP00000482867.1,ENSP00000377796.3;ENSP00000482867.1,METTL7B; METTL7B,33948000
ENSP00000451963.1;ENSP00000377801.2;ENSP00000450678.1;ENSP00000451365.1,ENSP00000451963.1;ENSP00000377801.2;ENSP00000450678.1,RCCD1; RCCD1; RCCD1; RCCD1,7162700
ENSP00000377807.3,ENSP00000377807.3,FAM122A,4590700
ENSP00000377814.3;ENSP00000330721.3;ENSP00000454103.1;ENSP00000452937.1,ENSP00000377814.3;ENSP00000330721.3;ENSP00000454103.1;ENSP00000452937.1,HDDC3; HDDC3; HDDC3; HDDC3,66451000
ENSP00000377816.2,ENSP00000377816.2,UNC45A,0
ENSP00000377833.4,ENSP00000377833.4,ANXA4,1528800000
ENSP00000377840.3;ENSP00000377847.3;ENSP00000477612.1;ENSP00000399242.1,ENSP00000377840.3;ENSP00000377847.3,CACNB1; CACNB1; CACNB1; CACNB4,0
ENSP00000377862.3;ENSP00000335169.5,ENSP00000377862.3;ENSP00000335169.5,FAT4; FAT4,464190
ENSP00000420311.2;ENSP00000377865.1;ENSP00000462773.1;ENSP00000463014.1;ENSP00000367336.3;ENSP00000377866.1;ENSP00000463894.1,ENSP00000420311.2;ENSP00000377865.1;ENSP00000462773.1;ENSP00000463014.1;ENSP00000367336.3,RPL23; RPL23; RPL23; RPL23; RPL23; RPL23; RPL23,483020000
ENSP00000472305.1;ENSP00000377873.2,ENSP00000472305.1;ENSP00000377873.2,ZNF358; NA,29503
ENSP00000377882.3,ENSP00000377882.3,GSN,6911900000
ENSP00000452123.1;ENSP00000451088.1;ENSP00000377892.2;ENSP00000452090.1;ENSP00000474409.1;ENSP00000452449.1;ENSP00000450918.1;ENSP00000451391.1;ENSP00000452400.1,ENSP00000452123.1;ENSP00000451088.1;ENSP00000377892.2;ENSP00000452090.1;ENSP00000474409.1;ENSP00000452449.1;ENSP00000450918.1;ENSP00000451391.1;ENSP00000452400.1,SRSF5; SRSF5; SRSF5; SRSF5; SRSF5; SRSF5; SRSF5; SRSF5; SRSF5,12616000
ENSP00000377895.3;ENSP00000426410.1;ENSP00000296701.6,ENSP00000377895.3;ENSP00000426410.1;ENSP00000296701.6,FBXO38; FBXO38; FBXO38,0
ENSP00000377914.4;ENSP00000456114.1;ENSP00000458000.1;ENSP00000457042.1;ENSP00000454480.1;ENSP00000457622.1;ENSP00000455309.1;ENSP00000455572.1;ENSP00000457400.1,ENSP00000377914.4;ENSP00000456114.1;ENSP00000458000.1;ENSP00000457042.1;ENSP00000454480.1;ENSP00000457622.1,CIAPIN1; CIAPIN1; CIAPIN1; CIAPIN1; CIAPIN1; CIAPIN1; CIAPIN1; CIAPIN1; CIAPIN1,40109000
ENSP00000377933.3;ENSP00000377931.4;ENSP00000377935.4;ENSP00000377936.1;ENSP00000431320.1;ENSP00000398779.2;ENSP00000336591.6;ENSP00000421396.1;ENSP00000425828.1,ENSP00000377933.3;ENSP00000377931.4;ENSP00000377935.4;ENSP00000377936.1;ENSP00000431320.1;ENSP00000398779.2;ENSP00000336591.6;ENSP00000421396.1,PPP2R2B; PPP2R2B; PPP2R2B; PPP2R2B; PPP2R2B; PPP2R2B; PPP2R2B; PPP2R2B; PPP2R2B,0
ENSP00000377934.3,ENSP00000377934.3,KIF7,445550
ENSP00000420793.2;ENSP00000377939.2;ENSP00000420342.1;ENSP00000419335.1;ENSP00000419442.2;ENSP00000419548.1;ENSP00000419019.1;ENSP00000418179.1;ENSP00000417286.1;ENSP00000486008.1;ENSP00000418206.1;ENSP00000417801.1;ENSP00000486332.1;ENSP00000419551.1;ENSP00000418619.1;ENSP00000417358.1,ENSP00000420793.2;ENSP00000377939.2,UGP2; UGP2; UGP2; UGP2; UGP2; UGP2; UGP2; UGP2; UGP2; UGP2; UGP2; UGP2; UGP2; UGP2; UGP2; UGP2,1233700000
ENSP00000377941.4;ENSP00000444422.2;ENSP00000450764.1;ENSP00000452254.1;ENSP00000450625.1;ENSP00000451086.1,ENSP00000377941.4,ACTN1; ACTN1; ACTN1; ACTN1; ACTN1; ACTN1,7901700000
ENSP00000443176.1;ENSP00000377942.4;ENSP00000455891.2;ENSP00000457705.1;ENSP00000456646.1;ENSP00000455367.1,ENSP00000443176.1;ENSP00000377942.4,RSPRY1; RSPRY1; RSPRY1; RSPRY1; RSPRY1; RSPRY1,2225500
ENSP00000377944.3;ENSP00000388669.2;ENSP00000413187.1,ENSP00000377944.3;ENSP00000388669.2,UTP14A; UTP14A; UTP14A,8518000
ENSP00000377954.2;ENSP00000426005.1;ENSP00000274562.10;ENSP00000481381.1,ENSP00000377954.2;ENSP00000426005.1,LARS1; LARS1; LARS1; LARS1,76221000
ENSP00000377958.3;ENSP00000443061.1,ENSP00000377958.3;ENSP00000443061.1,CCT4; CCT4,809300000
ENSP00000377969.3;ENSP00000469091.1;ENSP00000471403.1;ENSP00000471542.1,ENSP00000377969.3;ENSP00000469091.1;ENSP00000471403.1,GTF2F1; GTF2F1; GTF2F1; GTF2F1,13765000
ENSP00000377989.3,ENSP00000377989.3,REL,15883000
ENSP00000377995.4;ENSP00000369146.3;CON__P67983;ENSP00000475791.1;ENSP00000475537.1,ENSP00000377995.4;ENSP00000369146.3;CON__P67983,MT1X; MT1M; NA; MT1X; MT1X,0
ENSP00000378030.3,ENSP00000378030.3,CAMK2D,202500000
ENSP00000378042.2;ENSP00000406937.1,ENSP00000378042.2,AKAP9; AKAP9,0
ENSP00000378043.3,ENSP00000378043.3,PCDH1,0
ENSP00000378053.2;ENSP00000419052.1,ENSP00000378053.2;ENSP00000419052.1,DNASE1L3; DNASE1L3,259710
ENSP00000378071.2;ENSP00000268876.4;ENSP00000468335.1,ENSP00000378071.2;ENSP00000268876.4;ENSP00000468335.1,UNC45B; UNC45B; UNC45B,316400
ENSP00000378077.2;ENSP00000483020.1,ENSP00000378077.2;ENSP00000483020.1,PCDHGA2; PCDHGA2,22561000
ENSP00000378107.2,ENSP00000378107.2,RTN4,6822600
ENSP00000427438.1;ENSP00000378130.2;ENSP00000378131.3;ENSP00000483416.1;ENSP00000422009.1;CON__Q32PI4,ENSP00000427438.1;ENSP00000378130.2;ENSP00000378131.3;ENSP00000483416.1,CFI; CFI; CFI; CFI; CFI; NA,61704000
ENSP00000378145.4,ENSP00000378145.4,MCUB,0
ENSP00000423983.1;ENSP00000423316.1;ENSP00000378163.2;ENSP00000378162.3;ENSP00000378160.1,ENSP00000423983.1;ENSP00000423316.1;ENSP00000378163.2;ENSP00000378162.3;ENSP00000378160.1,RPL34; RPL34; RPL34; RPL34; RPL34,8816200
ENSP00000378161.3;ENSP00000475986.1;ENSP00000475333.1;ENSP00000475312.1;ENSP00000385674.1;ENSP00000306448.4,ENSP00000378161.3;ENSP00000475986.1;ENSP00000475333.1,ACYP2; ACYP2; ACYP2; ACYP2; ACYP2; ACYP2,18509000
ENSP00000378166.3;ENSP00000252100.6;ENSP00000421613.2,ENSP00000378166.3;ENSP00000252100.6,TMCO6; TMCO6; TMCO6,949200
ENSP00000378167.3;ENSP00000401451.1;ENSP00000326050.7;ENSP00000343840.6;ENSP00000410510.1;ENSP00000394704.1;ENSP00000390652.1;ENSP00000420192.1,ENSP00000378167.3;ENSP00000401451.1;ENSP00000326050.7;ENSP00000343840.6,CCDC66; CCDC66; CCDC66; CCDC66; CCDC66; CCDC66; CCDC66; CCDC66,0
ENSP00000378180.3;ENSP00000378181.2;ENSP00000461556.1,ENSP00000378180.3;ENSP00000378181.2,BRD7; BRD7; BRD7,1628400
ENSP00000476746.1;ENSP00000378204.1,ENSP00000476746.1;ENSP00000378204.1,ZBTB25; ZBTB25,0
ENSP00000378227.2;ENSP00000482620.1;ENSP00000465929.1;ENSP00000463206.1,ENSP00000378227.2;ENSP00000482620.1,RAB11FIP4; RAB11FIP4; RAB11FIP4; RAB11FIP4,777330
ENSP00000378235.2;ENSP00000418950.1;ENSP00000418860.1,ENSP00000378235.2,SFMBT1; SFMBT1; SFMBT1,0
ENSP00000385499.1;ENSP00000378236.1;ENSP00000385701.1;ENSP00000378234.3;ENSP00000399868.1;ENSP00000387896.2;ENSP00000384597.3;ENSP00000412645.1;ENSP00000396702.1,ENSP00000385499.1;ENSP00000378236.1;ENSP00000385701.1;ENSP00000378234.3,STON1-GTF2A1L; STON1-GTF2A1L; STON1-GTF2A1L; STON1-GTF2A1L; STON1; GTF2A1L; GTF2A1L; GTF2A1L; GTF2A1L,26001000
ENSP00000378243.3;ENSP00000307082.7;ENSP00000393784.1,ENSP00000378243.3;ENSP00000307082.7;ENSP00000393784.1,CAMK2G; CAMK2G; CAMK2G,15023000
ENSP00000378257.4;ENSP00000378259.3;ENSP00000363405.3;ENSP00000322108.4,ENSP00000378257.4;ENSP00000378259.3;ENSP00000363405.3;ENSP00000322108.4,SHOC1; SHOC1; SHOC1; SHOC1,235650
ENSP00000378260.3;ENSP00000479731.1;ENSP00000485067.1;ENSP00000480711.1;ENSP00000426892.2;ENSP00000478130.1;ENSP00000485093.1;ENSP00000485624.1,ENSP00000378260.3;ENSP00000479731.1;ENSP00000485067.1;ENSP00000480711.1;ENSP00000426892.2;ENSP00000478130.1,ALG13; ALG13; ALG13; ALG13; ALG13; ALG13; ALG13; ALG13,2197800
ENSP00000378278.2;ENSP00000395772.1;ENSP00000419734.1;ENSP00000420345.1;ENSP00000419895.1,ENSP00000378278.2;ENSP00000395772.1,GNL3; GNL3; GNL3; GNL3; GNL3,22733000
ENSP00000422319.1;ENSP00000378279.2;ENSP00000480093.1,ENSP00000422319.1;ENSP00000378279.2,MATR3; MATR3; MATR3,336070000
ENSP00000432731.1;ENSP00000378286.3,ENSP00000432731.1;ENSP00000378286.3,ZBTB3; ZBTB3,0
